ID,Height,Radius,HtRa,diameter,area,volume,para_coeff,surface_area,arc_length
PI587136,-7.6656,-0.9013,-0.06863,-1.8026,-844.77,-84364,-0.00025,-2746.28,-15.9308
PI587137,-25.7098,-6.2217,-0.1453,-12.4435,-3729.8,-413199,-0.00025,-12189,-55.3091
PI587138,55.328,12.0795,0.2438,24.1589,9330.99,1164078,0.000042,29891,117.23
PI587139,0.5295,-0.3137,0.001121,-0.6273,-155.61,-55542,-0.00008,-792.23,-0.2268
PI587140,-7.2703,-4.5239,0.001482,-9.0478,-1759.81,-254818,0.00016,-6393.38,-20.2801
PI587141,-4.3588,-3.4498,0.01433,-6.8997,-1323.48,-181336,0.000144,-4969.56,-15.0909
PI587142,13.2216,6.8901,-0.00147,13.7803,2825.65,362907,-0.00038,9728.47,33.2219
PI587143,-27.0706,-3.1468,-0.2002,-6.2935,-3441.6,-361004,-0.00059,-10528,-52.5149
PI587144,19.6126,-7.4306,0.2994,-14.8611,399.72,-116160,0.00139,-719.79,26.7012
PI587147,20.9611,-5.5714,0.3442,-11.1429,741.62,-51409,0.001817,853.82,31.8
PI587148,-4.4998,-0.8067,-0.02857,-1.6134,-787.29,-111300,-0.0001,-2597.27,-9.6248
PI587149,-3.0438,0.3919,-0.0319,0.7838,-416.79,-64023,-0.00016,-1323.22,-5.8255
PI587150,-4.042,2.4308,-0.05693,4.8617,-237.43,-10998,-0.00028,9.5499,-3.68
PI587151,-23.611,-5.3576,-0.1468,-10.7152,-3335.89,-372994,-0.00033,-10938,-50.6344
PI587152,3.4633,2.0335,-0.00061,4.067,590.94,57193,-0.00015,2038.1,8.5127
PI587154,24.3401,4.6388,0.1195,9.2776,3664.4,404274,0.000027,11430,49.8219
PI592734,38.1183,6.0471,0.2793,12.0942,5295.8,613719,0.000843,16848,78.2656
PI594046,-14.1536,-4.8272,-0.031,-9.6544,-2561.25,-312407,0.000228,-8514.75,-32.6032
PI594047,-17.9981,-10.7935,0.01302,-21.587,-3899.8,-485745,0.000552,-14031,-50.5668
PI594048,-8.193,5.8523,-0.1357,11.7046,-102.22,52242,-0.00066,1389.41,-5.9889
PI595534,-18.0433,-7.1115,-0.0512,-14.223,-3269.35,-406631,0.000154,-11228,-43.2158
PI595541,-9.244,-0.05135,-0.07707,-0.1027,-1115.36,-122969,-0.0003,-3387.69,-17.9122
PI595542,-10.4168,-8.7963,0.05254,-17.5926,-2817.93,-388796,0.000654,-10362,-31.9599
PI595544,-11.7818,-7.496,-0.00671,-14.992,-2515.96,-340415,0.000292,-9114.78,-31.5675
PI595550,-12.8297,-7.8482,0.000983,-15.6963,-2760.47,-368968,0.000401,-9985.55,-34.8914
PI595561,9.5747,-11.0506,0.2893,-22.1012,-1896.02,-335081,0.001707,-8268.14,1.7561
PI595565,-28.2405,-4.2837,-0.1694,-8.5674,-3786.65,-388643,-0.00039,-11748,-57.5098
PI595616,-22.5477,-3.5528,-0.1627,-7.1055,-3047.75,-339237,-0.00044,-9598.43,-45.1506
PI597927,33.1531,7.7786,0.1479,15.5572,5328.8,625372,0.000069,17251,71.6367
PI600729,-11.1907,-4.3801,-0.03792,-8.7602,-2117.73,-281602,0.000009278,-7381.77,-27.2874
PI600742,2.7035,-10.0311,0.2379,-20.0622,-1799.23,-319911,0.001697,-7569.66,-8.7489
PI600751,-13.9251,-0.00997,-0.1178,-0.01995,-1680.67,-180197,-0.00042,-4850.35,-25.3888
PI600772,21.9303,-1.2995,0.2341,-2.5991,1958.4,136507,0.000929,5168.46,37.9329
PI600791,4.6559,-0.9301,0.05166,-1.8602,131.45,-41134,0.000153,-109.65,6.5476
PI600944,10.7985,1.0207,0.04713,2.0414,1439.1,122106,0.000055,4208.56,22.1564
PI600955,0.005623,1.8457,-0.03161,3.6914,186.89,15205,-0.00026,808.45,1.9015
PI600956,-27.9438,-3.1774,-0.224,-6.3547,-3532.5,-377669,-0.00071,-10878,-54.1117
PI600957,16.7699,1.2825,0.1515,2.5649,1751.9,144297,0.0005,5217.57,32.1317
PI600958,7.2352,0.3435,0.0465,0.6871,1320.98,204059,0.000156,3907.6,12.5062
PI600959,12.6612,4.4146,0.04413,8.8293,2055.7,229140,-0.00008,7023.24,29.722
PI600981,-20.0594,-0.924,-0.1808,-1.848,-2365.69,-247244,-0.00066,-6951.99,-36.4961
PI601003,14.0448,-3.1756,0.165,-6.3511,727.13,-22129,0.000631,1040.53,20.829
PI601005,28.1645,10.5771,0.08463,21.1543,5356.95,718318,-0.00022,18090,64.8161
PI601006,2.4416,2.7611,-0.02477,5.5222,615.43,66955,-0.00029,2219.51,7.3383
PI601007,0.8668,-0.7605,0.006319,-1.521,-89.1968,-41875,-0.00003,-579.83,0.5851
PI601008,35.2179,7.1967,0.1556,14.3935,5877.78,726923,0.000199,18946,76.5138
PI601026,62.7073,16.6497,0.2057,33.2994,11980,1624575,-0.00017,39161,139.07
PI601037,-11.7841,-10.2769,0.05611,-20.5538,-3125,-426238,0.00072,-11631,-37.041
PI601079,-5.7039,0.6684,-0.05209,1.3367,-692.9,-84376,-0.00022,-1989.5,-10.163
PI601080,12.5295,8.296,-0.0143,16.592,2975.4,410645,-0.00041,10677,34.1785
PI601081,-9.5984,-3.8392,-0.01805,-7.6784,-1937.43,-236191,0.000051,-6828.71,-25.8466
PI601150,14.8316,-6.5572,0.2906,-13.1145,-21.9002,-132090,0.001599,-1674.55,18.3342
PI601170,12.1674,2.75,0.07816,5.5,1619.26,167822,0.000166,5345.29,26.2631
PI601171,3.1072,-5.0155,0.1201,-10.031,-853.77,-180700,0.000699,-3845.08,-1.8275
PI601172,12.3692,-3.6232,0.1802,-7.2465,384.01,-61523,0.000795,-6.5438,17.0188
PI601190,12.7361,1.8927,0.1126,3.7853,1345.7,112460,0.000354,4341.53,26.202
PI601191,28.0073,9.873,0.08247,19.746,5153.36,661015,-0.00027,17198,63.6206
PI601209,11.2429,-0.2433,0.0943,-0.4866,1099.55,70521,0.000237,2814.03,19.1294
PI601210,-8.5338,0.3904,-0.08468,0.7807,-1001.77,-112464,-0.00036,-2885.51,-15.2281
PI601211,19.5822,-2.7572,0.2446,-5.5145,1221.44,33721,0.001087,2749.57,32.4845
PI601229,27.5095,3.9816,0.1829,7.9632,3702.29,390949,0.000385,11490,55.0759
PI601230,-15.8339,1.2968,-0.1548,2.5936,-1624.47,-152712,-0.00061,-4340.86,-26.8783
PI601269,-31.1919,-2.9191,-0.2636,-5.8382,-3748.56,-384743,-0.00087,-11312,-58.8373
PI601300,14.7792,4.7092,0.05775,9.4184,2317.9,254804,-0.00011,7714.43,33.1017
PI601316,-10.996,-7.6839,0.01875,-15.3678,-2595.83,-357896,0.000456,-9437.18,-30.8869
PI601317,7.9662,3.6358,0.008958,7.2715,1508.05,171993,-0.00014,5119,19.5602
PI601318,21.8778,-0.7128,0.2721,-1.4255,1709.35,110210,0.001251,5053.52,41.1701
PI601319,2.7119,0.2746,0.0114,0.5492,211.11,-9800.28,-0.00005,477.84,5.0755
PI601320,-13.3981,5.7689,-0.1701,11.5377,-683.14,11006,-0.00073,-53.2542,-15.0668
PI601321,3.4632,7.9484,-0.0816,15.8968,1620.52,244874,-0.00067,6810.89,17.9763
PI601322,36.6776,-4.257,0.4487,-8.514,2592.08,109895,0.001927,6381.44,62.442
PI601360,-18.409,-0.03206,-0.1746,-0.06412,-2099.57,-217435,-0.00067,-6074.9,-33.0461
PI601361,31.2815,7.2911,0.1576,14.5823,4841.01,561124,0.000106,15595,66.3492
PI601362,-2.2314,1.284,-0.04573,2.568,-23.4734,-1349.3,-0.00026,54.7961,-3.0576
PI601374,22.0509,7.2352,0.05466,14.4705,4056.52,498820,-0.00024,13286,49.6129
PI601375,27.2658,10.4537,0.05578,20.9074,5380.84,707085,-0.00034,18129,64.126
PI601376,33.7794,5.2801,0.1688,10.5603,5021.18,546424,0.000147,15584,69.3585
PI601378,36.6777,11.8917,0.1083,23.7833,6980.64,933759,-0.0003,22988,81.6776
PI601402,21.1305,-1.1758,0.2061,-2.3516,1725.8,84616,0.000701,4496.63,37.5976
PI601404,-21.5685,-11.7404,-0.00737,-23.4808,-4234.33,-519486,0.00065,-15034,-56.8905
PI601405,7.0347,14.0999,-0.1185,28.1999,3891.15,669144,-0.00077,15610,34.5816
PI601417,68.7409,2.5248,0.456,5.0497,8290.41,762506,0.001153,24716,136.74
PI601430,20.7593,7.627,0.03818,15.254,4062.37,508160,-0.00023,13665,49.7387
PI601438,-11.0739,-6.0788,-0.00529,-12.1577,-2480.13,-333831,0.000191,-8952.91,-30.7858
PI601439,-5.6263,-0.478,-0.06456,-0.956,-639.24,-78453,-0.00032,-2071.33,-10.86
PI601441,26.4678,12.3658,0.02428,24.7316,5748.75,790414,-0.00049,19747,65.2227
PI601442,24.7854,3.0897,0.1442,6.1795,3436.57,357280,0.00017,10432,48.9884
PI601492,-5.96,3.3576,-0.07963,6.7151,-200.04,18399,-0.00035,444.16,-5.7599
PI601496,-10.5247,-0.5954,-0.08758,-1.1908,-1296.49,-140000,-0.00028,-3883.96,-19.9495
PI601497,6.3711,3.8842,0.01435,7.7684,1133.73,132264,-0.00009,4277.36,17.4544
PI601499,16.0627,6.3055,0.04173,12.6109,2901.07,357979,-0.00022,9733.53,36.7838
PI601500,-25.1148,6.3757,-0.2997,12.7515,-1917.8,-109152,-0.00127,-3346.86,-33.9138
PI601501,5.3592,1.0207,0.01543,2.0414,788.01,66155,-0.00003,2359.49,11.4996
PI601558,8.4796,-0.4859,0.06696,-0.9717,761.99,33429,0.00015,1800.88,14.0963
PI601560,13.825,-3.7828,0.1579,-7.5657,560.45,-49216,0.000602,360.33,19.7602
PI601562,-11.5985,-1.6986,-0.1022,-3.3972,-1446.07,-162679,-0.00038,-4673.15,-23.4895
PI601564,-18.4876,-12.3548,0.07001,-24.7095,-4027.15,-498358,0.001378,-14257,-50.2844
PI601566,-2.2956,-0.1538,-0.00714,-0.3075,-458.4,-66843,0.000008243,-1449.44,-4.8779
PI601567,10.3523,-3.7406,0.1898,-7.4811,239.95,-41184,0.00107,-200.15,13.5682
PI601583,-2.0638,-5.5245,0.08152,-11.0489,-1399.2,-229415,0.000616,-5459.1,-11.6701
PI601610,31.2204,5.8818,0.1264,11.7636,5061.44,576650,0.000067,15942,66.6253
PI601611,44.6668,10.6007,0.2779,21.2015,7204.55,951962,0.000727,23811,96.6255
PI601612,-6.8312,2.7142,-0.1059,5.4284,-405.25,-25524,-0.00055,-638.33,-9.134
PI601683,29.638,3.0936,0.1842,6.1872,3824.18,369474,0.000329,11526,58.4922
PI601689,-10.4004,-6.7694,0.001493,-13.5387,-2301.7,-309230,0.000286,-8414.05,-29.0885
PI601724,0.3723,3.3479,-0.02977,6.6958,372.06,55999,-0.00023,1933.65,5.3774
PI601726,22.6374,2.9724,0.1439,5.9448,3000.58,303159,0.000236,9109.3,44.4433
PI601792,15.0675,3.265,0.06111,6.5299,2404.57,269741,0.000026,7595.21,32.1349
PI601808,14.9363,1.8222,0.08104,3.6444,2084.47,211577,0.000051,6250.89,29.2026
PI606329,-32.3744,-7.9453,-0.1955,-15.8906,-4274.29,-434185,-0.00029,-13980,-70.2159
PI606330,-12.1486,-8.1533,0.03734,-16.3066,-2715.88,-352651,0.000789,-9748.61,-33.5159
PI606768,22.1848,5.2643,0.08785,10.5286,3525.29,392036,-0.00006,11209,47.3138
PI607521,0.5295,-4.9142,0.104,-9.8283,-984.06,-176327,0.000755,-4132.35,-6.3313
PI608765,-15.3967,-4.3508,-0.08931,-8.7017,-2411.72,-296012,-0.00018,-8089.25,-33.9105
PI608766,-11.0262,-6.3475,0.007129,-12.695,-2551.53,-311972,0.000244,-9253.49,-33.0267
PI608767,-10.9437,-8.6462,0.03566,-17.2924,-2701.44,-371794,0.000599,-9919.67,-32.0627
PI608774,0.1091,2.4021,-0.03218,4.8042,285.36,34509,-0.00024,1274.54,2.9882
PI615190,0.1627,-3.7406,0.06931,-7.4813,-905.69,-172808,0.000425,-3647.62,-5.0689
PI644100,-1.9207,2.3968,-0.05589,4.7936,181.57,29431,-0.00033,946.48,-0.7704
PI644101,19.1844,7.0598,0.05773,14.1195,3454.52,428788,-0.00014,11699,44.7048

