ID,Height,Radius,HtRa,diameter,area,volume,para_coeff,surface_area,arc_length
Ames27072,10.1427,-5.4775,0.2058,-10.955,-211.4,-132231,0.001097,-2066.3,10.6926
Ames27074,0.06608,-0.4444,0.001454,-0.8889,-61.048,-17187,1.821E-07,-454.13,-1.413
Ames27076,-14.5323,-5.1724,-0.04421,-10.3448,-2516.71,-308805,0.000197,-8519.47,-33.7631
Ames27078,-32.9324,-3.0734,-0.2527,-6.1469,-4064.44,-417331,-0.00078,-12142,-62.091
Ames27079,-24.4365,-9.4007,-0.06089,-18.8013,-4319.84,-505066,0.000236,-14792,-59.6791
Ames27080,-5.4253,6.4301,-0.129,12.8603,437.75,123691,-0.00069,3003.62,-0.7988
Ames27081,-0.07296,-5.2662,0.09218,-10.5325,-1101.7,-196862,0.000631,-4597.45,-8.1029
Ames27082,-15.3705,-2.1914,-0.1104,-4.3828,-2072.66,-230877,-0.00029,-6445.2,-30.2586
Ames27083,-30.3978,-8.9804,-0.1611,-17.9608,-4495.25,-503037,-0.0002,-15079,-68.1485
Ames27084,-6.7005,1.2535,-0.09921,2.507,-260.65,10227,-0.00048,-441.46,-10.3544
Ames27085,5.6898,-2.7313,0.08226,-5.4626,75.0518,-56300,0.000331,-715.85,5.655
Ames27086,14.0457,4.8501,0.06635,9.7002,2259.74,270752,0.000025,7696.68,32.1867
Ames27087,-15.3824,-4.6156,-0.05348,-9.2312,-2727.91,-336155,8.847E-07,-9095.86,-35.3896
Ames27088,-14.1536,-4.3097,-0.06523,-8.6194,-2399.6,-301665,-0.00008,-8143.06,-32.4997
Ames27089,-11.6828,-11.8137,0.09007,-23.6273,-3365.35,-459107,0.000992,-12624,-39.053
Ames27090,32.2771,7.3851,0.1454,14.7701,5252.98,631964,0.000003685,16775,67.9686
Ames27091,-5.862,6.1175,-0.1413,12.2351,283.4,92414,-0.0008,2318.68,-2.2835
Ames27092,11.1457,0.1596,0.09791,0.3193,1002.43,56056,0.000292,2738.13,20.2754
Ames27093,-28.4592,-0.7765,-0.2031,-1.553,-3340.38,-310777,-0.00058,-9299.35,-51.8457
Ames27094,-20.8436,-1.4763,-0.1564,-2.9527,-2698.5,-294255,-0.00049,-8018.88,-39.0797
Ames27095,6.1751,0.1846,0.03069,0.3693,675.47,38892,0.000041,1767.41,11.6656
Ames27096,-40.8052,-5.8531,-0.3193,-11.7062,-5100.47,-528352,-0.00094,-15736,-79.1918
Ames27097,24.733,4.2867,0.1497,8.5735,3375.97,349613,0.00021,10609,50.493
Ames27098,3.0766,5.0344,-0.05794,10.0687,1330.09,195909,-0.00047,4966.82,12.0841
Ames27099,-14.1394,-5.3602,-0.04601,-10.7204,-2486.36,-310200,0.000134,-8509.65,-33.3561
Ames27100,-12.77,-4.3672,-0.05949,-8.7345,-2156.21,-271199,-0.00008,-7474.85,-30.2607
Ames27101,0.5295,-1.9098,0.02642,-3.8197,-443.92,-104990,0.00009,-1985.54,-2.196
Ames27102,-1.4039,-2.8434,0.04003,-5.6868,-912.02,-156908,0.000275,-3506.26,-7.1147
Ames27105,18.5846,9.1107,0.01455,18.2214,4125.22,564195,-0.0003,14491,48.1854
Ames27106,2.1617,2.921,-0.02304,5.842,698.86,97870,-0.00023,2658.45,7.3933
Ames27108,-7.6902,-2.5616,-0.0197,-5.1232,-1491.68,-180800,0.000007802,-5165.37,-19.8617
Ames27109,-13.7716,-9.4026,0.02703,-18.8052,-3175.33,-398452,0.000535,-11565,-40.4323
Ames27110,-24.729,-4.741,-0.1562,-9.4819,-3475.35,-387322,-0.00037,-11192,-51.826
Ames27111,16.508,8.0657,0.02565,16.1314,3366.43,457865,-0.00031,11765,40.8657
Ames27112,-15.142,5.0343,-0.1949,10.0686,-813.87,-3433.04,-0.00085,-695.85,-18.8807
Ames27113,-14.899,-4.7264,-0.07147,-9.4527,-2293.39,-263346,-0.00000227,-7737.85,-33.7407
Ames27114,-6.3349,-2.585,-0.01223,-5.17,-1349.54,-173783,0.00002,-4807.13,-17.3714
Ames27115,-0.5169,-5.6481,0.09123,-11.2961,-1317.15,-230490,0.000595,-5370.46,-9.5172
Ames27116,5.0533,-0.5146,0.04782,-1.0292,245.72,-25884,0.000113,481.21,9.1197
Ames27117,-5.4916,3.1784,-0.08661,6.3568,-231.67,-3846.5,-0.00044,101.9,-5.5792
Ames27118,-15.3052,0.3649,-0.09774,0.7297,-1813.39,-165394,-0.00029,-4947.64,-28.0673
Ames27119,19.3255,2.6176,0.09483,5.2352,2700.42,264160,0.000107,8175.52,39.2663
Ames27120,17.3317,15.9546,-0.07712,31.9093,5980.84,991929,-0.00071,22215,55.832
Ames27121,-33.9685,-5.8765,-0.2482,-11.7531,-4470.25,-480892,-0.00067,-14140,-68.3478
Ames27122,-30.3957,-5.9772,-0.198,-11.9544,-4135.82,-447437,-0.00047,-13237,-62.9646
Ames27123,13.9147,-2.3323,0.1742,-4.6646,743.18,-16140,0.000695,1418.38,22.2577
Ames27124,0.608,3.653,-0.05641,7.306,602.21,81964,-0.00045,2496.69,5.8525
Ames27125,-15.5878,-7.2678,-0.02099,-14.5356,-3020.51,-365666,0.000251,-10612,-40.5254
Ames27126,-1.1767,-9.792,0.1602,-19.584,-2320.86,-370589,0.001062,-9253.32,-16.8894
Ames27129,1.7993,-3.6916,0.09757,-7.3832,-629.14,-111251,0.000648,-2685.2,-2.2759
Ames27130,3.9308,0.1308,0.02831,0.2615,273.96,-8645,0.000027,549.24,6.4897
Ames27131,-0.333,0.4125,-0.00017,0.8249,-215.68,-48581,-0.00002,-579.16,-0.04338
Ames27132,-13.3273,-5.6887,-0.04099,-11.3775,-2368.5,-295483,0.000138,-8177.74,-31.7597
Ames27133,-8.5599,1.5171,-0.08102,3.0342,-958.93,-95881,-0.00031,-2201.55,-12.6891
Ames27134,-1.0953,-2.0389,0.01714,-4.0778,-687.36,-111608,0.000096,-2762.66,-6.3235
Ames27135,28.8802,0.4484,0.2277,0.8968,3050.62,238052,0.000611,8624.19,53.5681
Ames27136,-25.8186,-0.3005,-0.2146,-0.601,-3018.77,-302035,-0.00072,-8511.42,-45.7146
Ames27137,-18.9307,3.5392,-0.206,7.0784,-1625.9,-123278,-0.00085,-3616.29,-28.5082
Ames27138,-0.1778,8.9341,-0.1218,17.8683,1395.38,248382,-0.00082,6381.44,12.0812
Ames27139,0.739,1.658,-0.02303,3.316,264.98,23936,-0.00022,986.77,2.9025
Ames27140,-13.2385,5.8465,-0.1726,11.693,-451.44,41013,-0.00075,498.28,-15.0161
Ames27141,-20.557,-1.9333,-0.1581,-3.8666,-2671.42,-290861,-0.00048,-7985.54,-38.6271
Ames27143,21.3278,9.6383,0.02978,19.2766,4265.43,556885,-0.00044,14503,50.7863
Ames27144,-31.4424,-8.1767,-0.1754,-16.3535,-4490.06,-485881,-0.00026,-14768,-68.3817
Ames27145,-34.6233,-6.5572,-0.2485,-13.1143,-4599.08,-496676,-0.00065,-14661,-70.3416
Ames27146,-0.4222,2.3376,-0.03727,4.6751,322.08,46152,-0.00023,1404.79,2.2029
Ames27147,-18.9067,-5.0081,-0.114,-10.0162,-2823.38,-332389,-0.00022,-9441.28,-41.5564
Ames27148,-5.4253,-4.7827,0.04268,-9.5653,-1682.81,-246205,0.000444,-6064.78,-16.605
Ames27149,45.9357,7.1748,0.261,14.3496,6806.2,782420,0.000477,21420,94.7985
Ames27151,27.0382,7.5024,0.1167,15.0048,4396.83,521240,-0.00005,14380,58.8849
Ames27153,-7.6216,-8.7748,0.08751,-17.5496,-2785.91,-357830,0.000729,-10444,-30.237
