Genotype	area	Fix
SAM292	-2399.6	1
SAM293	-2685.77	1
SAM294	-2516.71	1
SAM295	-2486.36	1
SAM296	-3018.77	1
SAM297	-3062.19	1
SAM298	-2301.7	1
SAM299	-2561.25	1
SAM3	11980	1
SAM30	5295.8	1
SAM300	-1799.23	1
SAM301	-1813.39	1
SAM302	-3224.49	1
SAM303	-3148.49	1
SAM304	-2796.38	1
SAM305	-2202.08	1
SAM306	-52.0392	1
SAM307	-1488.26	1
SAM308	-2823.38	1
SAM309	-2480.13	1
SAM31	5021.18	1
SAM310	-2706.47	1
SAM311	-2685.04	1
SAM312	-2376.17	1
SAM313	-2546	1
SAM314	-3047.75	1
SAM315	-2727.91	1
SAM316	-2515.96	1
SAM317	-1491.68	1
SAM318	-1323.48	1
SAM319	-2715.88	1
SAM32	3535.93	1
SAM320	-3171.65	1
SAM321	-2679.18	1
SAM322	-2595.83	1
SAM323	-3055.13	1
SAM324	-3335.89	1
SAM325	-2760.47	1
SAM326	-2701.44	1
SAM327	-3441.6	1
SAM328	-3128.03	1
SAM329	-3532.5	1
SAM33	4062.37	1
SAM330	-1937.43	1
SAM331	-3748.56	1
SAM332	-2410.42	1
SAM333	-3320.77	1
SAM334	-3475.35	1
SAM335	-3812.76	1
SAM336	-2470.26	1
SAM337	-1729.55	1
SAM338	-2817.93	1
SAM339	-3442.1	1
SAM34	4841.01	1
SAM340	-3269.35	1
SAM341	-2320.86	1
SAM342	-3340.38	1
SAM343	-1987.97	1
SAM344	-2399.23	1
SAM345	-3980.41	1
SAM346	-4064.44	1
SAM347	-4274.29	1
SAM348	-3725.02	1
SAM349	-3125	1
SAM35	4265.43	1
SAM350	-4382.02	1
SAM351	-3282.74	1
SAM352	-3828.48	1
SAM353	-3985.18	1
SAM354	-4173.21	1
SAM355	-4135.82	1
SAM356	-3753.78	1
SAM357	-3977.19	1
SAM358	-3020.51	1
SAM359	-3365.35	1
SAM36	4056.52	1
SAM360	-3729.8	1
SAM361	-4470.25	1
SAM362	-3478.06	1
SAM363	-4188.95	1
SAM364	-2551.53	1
SAM365	-3498.23	1
SAM366	-4599.08	1
SAM367	-4027.15	1
SAM368	-3786.65	1
SAM369	-4495.25	1
SAM37	4396.83	1
SAM370	-3164.85	1
SAM371	-3175.33	1
SAM372	-3933.46	1
SAM373	-4499.51	1
SAM374	-4234.33	1
SAM375	-3903.73	1
SAM376	-1896.02	1
SAM377	-5100.47	1
SAM378	-4319.84	1
SAM379	-3899.8	1
SAM38	3862.85	1
SAM380	-2785.91	1
SAM381	-4620.37	1
SAM382	-4490.06	1
SAM39	3327.04	1
SAM4	10617	1
SAM40	2157.28	1
SAM41	3930.11	1
SAM42	3805.79	1
SAM43	3504.35	1
SAM44	3454.52	1
SAM45	3366.43	1
SAM46	2350.9	1
SAM47	3759.86	1
SAM48	2975.4	1
SAM49	2796.22	1
SAM5	11426	1
SAM50	3657.5	1
SAM51	3525.29	1
SAM52	2825.65	1
SAM53	2673.46	1
SAM54	3664.4	1
SAM55	3702.29	1
SAM56	2731.47	1
SAM57	3616.34	1
SAM58	2901.07	1
SAM59	3436.57	1
SAM6	7531.21	1
SAM60	2700.42	1
SAM61	3375.97	1
SAM62	2032.35	1
SAM63	3824.18	1
SAM64	2404.57	1
SAM65	3093.05	1
SAM66	1306.11	1
SAM67	3000.58	1
SAM68	1292.25	1
SAM69	3292.27	1
SAM7	9023.42	1
SAM70	1876.98	1
SAM71	2259.74	1
SAM72	2317.9	1
SAM73	2055.7	1
SAM74	659.21	1
SAM75	1395.38	1
SAM76	1620.52	1
SAM77	2429.69	1
SAM78	1508.05	1
SAM79	1444.49	1
SAM8	5980.84	1
SAM80	1240.9	1
SAM81	1330.09	1
SAM82	1849.98	1
SAM83	2084.47	1
SAM84	3050.62	1
SAM85	1446.07	1
SAM86	1320.98	1
SAM87	940.98	1
SAM88	1619.26	1
SAM89	850.11	1
SAM9	9330.99	1
SAM90	2273.01	1
SAM91	2343.54	1
SAM92	1616.77	1
SAM93	1590.07	1
SAM94	438.59	1
SAM95	142.96	1
SAM96	1888.61	1
SAM97	1851.39	1
SAM98	437.75	1
SAM99	1328.67	1
