p1	p2	genotype
SAM25	SAM56	SAM25xSAM56
SAM25	SAM57	SAM25xSAM57
SAM25	SAM58	SAM25xSAM58
SAM25	SAM59	SAM25xSAM59
SAM26	SAM28	SAM26xSAM28
SAM26	SAM29	SAM26xSAM29
SAM26	SAM30	SAM26xSAM30
SAM26	SAM35	SAM26xSAM35
SAM26	SAM36	SAM26xSAM36
SAM26	SAM37	SAM26xSAM37
SAM26	SAM38	SAM26xSAM38
SAM26	SAM39	SAM26xSAM39
SAM26	SAM40	SAM26xSAM40
SAM26	SAM41	SAM26xSAM41
SAM26	SAM43	SAM26xSAM43
SAM26	SAM45	SAM26xSAM45
SAM26	SAM46	SAM26xSAM46
SAM26	SAM47	SAM26xSAM47
SAM26	SAM49	SAM26xSAM49
SAM26	SAM51	SAM26xSAM51
SAM26	SAM52	SAM26xSAM52
SAM26	SAM53	SAM26xSAM53
SAM26	SAM54	SAM26xSAM54
SAM26	SAM55	SAM26xSAM55
SAM26	SAM56	SAM26xSAM56
SAM26	SAM57	SAM26xSAM57
SAM26	SAM58	SAM26xSAM58
SAM26	SAM59	SAM26xSAM59
SAM28	SAM29	SAM28xSAM29
SAM28	SAM30	SAM28xSAM30
SAM28	SAM35	SAM28xSAM35
SAM28	SAM36	SAM28xSAM36
SAM28	SAM37	SAM28xSAM37
SAM28	SAM38	SAM28xSAM38
SAM28	SAM39	SAM28xSAM39
SAM28	SAM40	SAM28xSAM40
SAM28	SAM41	SAM28xSAM41
SAM28	SAM43	SAM28xSAM43
SAM28	SAM45	SAM28xSAM45
SAM28	SAM46	SAM28xSAM46
SAM28	SAM47	SAM28xSAM47
SAM28	SAM49	SAM28xSAM49
SAM28	SAM51	SAM28xSAM51
SAM28	SAM52	SAM28xSAM52
SAM28	SAM53	SAM28xSAM53
SAM28	SAM54	SAM28xSAM54
SAM28	SAM55	SAM28xSAM55
SAM28	SAM56	SAM28xSAM56
SAM28	SAM57	SAM28xSAM57
SAM28	SAM58	SAM28xSAM58
SAM28	SAM59	SAM28xSAM59
SAM29	SAM30	SAM29xSAM30
SAM29	SAM35	SAM29xSAM35
SAM29	SAM36	SAM29xSAM36
SAM29	SAM37	SAM29xSAM37
SAM29	SAM38	SAM29xSAM38
SAM29	SAM39	SAM29xSAM39
SAM29	SAM40	SAM29xSAM40
SAM29	SAM41	SAM29xSAM41
SAM29	SAM43	SAM29xSAM43
SAM29	SAM45	SAM29xSAM45
SAM29	SAM46	SAM29xSAM46
SAM29	SAM47	SAM29xSAM47
SAM29	SAM49	SAM29xSAM49
SAM29	SAM51	SAM29xSAM51
SAM29	SAM52	SAM29xSAM52
SAM29	SAM53	SAM29xSAM53
SAM29	SAM54	SAM29xSAM54
SAM29	SAM55	SAM29xSAM55
SAM29	SAM56	SAM29xSAM56
SAM29	SAM57	SAM29xSAM57
SAM29	SAM58	SAM29xSAM58
SAM29	SAM59	SAM29xSAM59
SAM30	SAM35	SAM30xSAM35
SAM30	SAM36	SAM30xSAM36
SAM30	SAM37	SAM30xSAM37
SAM30	SAM38	SAM30xSAM38
SAM30	SAM39	SAM30xSAM39
SAM30	SAM40	SAM30xSAM40
SAM30	SAM41	SAM30xSAM41
SAM30	SAM43	SAM30xSAM43
SAM30	SAM45	SAM30xSAM45
SAM30	SAM46	SAM30xSAM46
SAM30	SAM47	SAM30xSAM47
SAM30	SAM49	SAM30xSAM49
SAM30	SAM51	SAM30xSAM51
SAM30	SAM52	SAM30xSAM52
SAM30	SAM53	SAM30xSAM53
SAM30	SAM54	SAM30xSAM54
SAM30	SAM55	SAM30xSAM55
SAM30	SAM56	SAM30xSAM56
SAM30	SAM57	SAM30xSAM57
SAM30	SAM58	SAM30xSAM58
SAM30	SAM59	SAM30xSAM59
SAM35	SAM36	SAM35xSAM36
SAM35	SAM37	SAM35xSAM37
SAM35	SAM38	SAM35xSAM38
SAM35	SAM39	SAM35xSAM39
SAM35	SAM40	SAM35xSAM40
SAM35	SAM41	SAM35xSAM41
SAM35	SAM43	SAM35xSAM43
SAM35	SAM45	SAM35xSAM45
SAM35	SAM46	SAM35xSAM46
SAM35	SAM47	SAM35xSAM47
SAM35	SAM49	SAM35xSAM49
SAM35	SAM51	SAM35xSAM51
SAM35	SAM52	SAM35xSAM52
SAM35	SAM53	SAM35xSAM53
SAM35	SAM54	SAM35xSAM54
SAM35	SAM55	SAM35xSAM55
SAM35	SAM56	SAM35xSAM56
SAM35	SAM57	SAM35xSAM57
SAM35	SAM58	SAM35xSAM58
SAM35	SAM59	SAM35xSAM59
SAM36	SAM37	SAM36xSAM37
SAM36	SAM38	SAM36xSAM38
SAM36	SAM39	SAM36xSAM39
SAM36	SAM40	SAM36xSAM40
SAM36	SAM41	SAM36xSAM41
SAM36	SAM43	SAM36xSAM43
SAM36	SAM45	SAM36xSAM45
SAM36	SAM46	SAM36xSAM46
SAM36	SAM47	SAM36xSAM47
SAM36	SAM49	SAM36xSAM49
SAM36	SAM51	SAM36xSAM51
SAM36	SAM52	SAM36xSAM52
SAM36	SAM53	SAM36xSAM53
SAM36	SAM54	SAM36xSAM54
SAM36	SAM55	SAM36xSAM55
SAM36	SAM56	SAM36xSAM56
SAM36	SAM57	SAM36xSAM57
SAM36	SAM58	SAM36xSAM58
SAM36	SAM59	SAM36xSAM59
SAM37	SAM38	SAM37xSAM38
SAM37	SAM39	SAM37xSAM39
SAM37	SAM40	SAM37xSAM40
SAM37	SAM41	SAM37xSAM41
SAM37	SAM43	SAM37xSAM43
SAM37	SAM45	SAM37xSAM45
SAM37	SAM46	SAM37xSAM46
SAM37	SAM47	SAM37xSAM47
SAM37	SAM49	SAM37xSAM49
SAM37	SAM51	SAM37xSAM51
SAM37	SAM52	SAM37xSAM52
SAM37	SAM53	SAM37xSAM53
SAM37	SAM54	SAM37xSAM54
SAM37	SAM55	SAM37xSAM55
SAM37	SAM56	SAM37xSAM56
SAM37	SAM57	SAM37xSAM57
SAM37	SAM58	SAM37xSAM58
SAM37	SAM59	SAM37xSAM59
SAM38	SAM39	SAM38xSAM39
SAM38	SAM40	SAM38xSAM40
SAM38	SAM41	SAM38xSAM41
SAM38	SAM43	SAM38xSAM43
SAM38	SAM45	SAM38xSAM45
SAM38	SAM46	SAM38xSAM46
SAM38	SAM47	SAM38xSAM47
SAM38	SAM49	SAM38xSAM49
SAM38	SAM51	SAM38xSAM51
SAM38	SAM52	SAM38xSAM52
SAM38	SAM53	SAM38xSAM53
SAM38	SAM54	SAM38xSAM54
SAM38	SAM55	SAM38xSAM55
SAM38	SAM56	SAM38xSAM56
SAM38	SAM57	SAM38xSAM57
SAM38	SAM58	SAM38xSAM58
SAM38	SAM59	SAM38xSAM59
SAM39	SAM40	SAM39xSAM40
SAM39	SAM41	SAM39xSAM41
SAM39	SAM43	SAM39xSAM43
SAM39	SAM45	SAM39xSAM45
SAM39	SAM46	SAM39xSAM46
SAM39	SAM47	SAM39xSAM47
SAM39	SAM49	SAM39xSAM49
SAM39	SAM51	SAM39xSAM51
SAM39	SAM52	SAM39xSAM52
SAM39	SAM53	SAM39xSAM53
SAM39	SAM54	SAM39xSAM54
SAM39	SAM55	SAM39xSAM55
SAM39	SAM56	SAM39xSAM56
SAM39	SAM57	SAM39xSAM57
SAM39	SAM58	SAM39xSAM58
SAM39	SAM59	SAM39xSAM59
SAM40	SAM41	SAM40xSAM41
SAM40	SAM43	SAM40xSAM43
SAM40	SAM45	SAM40xSAM45
SAM40	SAM46	SAM40xSAM46
SAM40	SAM47	SAM40xSAM47
SAM40	SAM49	SAM40xSAM49
SAM40	SAM51	SAM40xSAM51
SAM40	SAM52	SAM40xSAM52
SAM40	SAM53	SAM40xSAM53
SAM40	SAM54	SAM40xSAM54
SAM40	SAM55	SAM40xSAM55
SAM40	SAM56	SAM40xSAM56
SAM40	SAM57	SAM40xSAM57
SAM40	SAM58	SAM40xSAM58
SAM40	SAM59	SAM40xSAM59
SAM41	SAM43	SAM41xSAM43
SAM41	SAM45	SAM41xSAM45
SAM41	SAM46	SAM41xSAM46
SAM41	SAM47	SAM41xSAM47
SAM41	SAM49	SAM41xSAM49
SAM41	SAM51	SAM41xSAM51
SAM41	SAM52	SAM41xSAM52
SAM41	SAM53	SAM41xSAM53
SAM41	SAM54	SAM41xSAM54
SAM41	SAM55	SAM41xSAM55
SAM41	SAM56	SAM41xSAM56
SAM41	SAM57	SAM41xSAM57
SAM41	SAM58	SAM41xSAM58
SAM41	SAM59	SAM41xSAM59
SAM43	SAM45	SAM43xSAM45
SAM43	SAM46	SAM43xSAM46
SAM43	SAM47	SAM43xSAM47
SAM43	SAM49	SAM43xSAM49
SAM43	SAM51	SAM43xSAM51
SAM43	SAM52	SAM43xSAM52
SAM43	SAM53	SAM43xSAM53
SAM43	SAM54	SAM43xSAM54
SAM43	SAM55	SAM43xSAM55
SAM43	SAM56	SAM43xSAM56
SAM43	SAM57	SAM43xSAM57
SAM43	SAM58	SAM43xSAM58
SAM43	SAM59	SAM43xSAM59
SAM45	SAM46	SAM45xSAM46
SAM45	SAM47	SAM45xSAM47
SAM45	SAM49	SAM45xSAM49
SAM45	SAM51	SAM45xSAM51
SAM45	SAM52	SAM45xSAM52
SAM45	SAM53	SAM45xSAM53
SAM45	SAM54	SAM45xSAM54
SAM45	SAM55	SAM45xSAM55
SAM45	SAM56	SAM45xSAM56
SAM45	SAM57	SAM45xSAM57
SAM45	SAM58	SAM45xSAM58
SAM45	SAM59	SAM45xSAM59
SAM46	SAM47	SAM46xSAM47
SAM46	SAM49	SAM46xSAM49
SAM46	SAM51	SAM46xSAM51
SAM46	SAM52	SAM46xSAM52
SAM46	SAM53	SAM46xSAM53
SAM46	SAM54	SAM46xSAM54
SAM46	SAM55	SAM46xSAM55
SAM46	SAM56	SAM46xSAM56
SAM46	SAM57	SAM46xSAM57
SAM46	SAM58	SAM46xSAM58
SAM46	SAM59	SAM46xSAM59
SAM47	SAM49	SAM47xSAM49
SAM47	SAM51	SAM47xSAM51
SAM47	SAM52	SAM47xSAM52
SAM47	SAM53	SAM47xSAM53
SAM47	SAM54	SAM47xSAM54
SAM47	SAM55	SAM47xSAM55
SAM47	SAM56	SAM47xSAM56
SAM47	SAM57	SAM47xSAM57
SAM47	SAM58	SAM47xSAM58
SAM47	SAM59	SAM47xSAM59
SAM49	SAM51	SAM49xSAM51
SAM49	SAM52	SAM49xSAM52
SAM49	SAM53	SAM49xSAM53
SAM49	SAM54	SAM49xSAM54
SAM49	SAM55	SAM49xSAM55
SAM49	SAM56	SAM49xSAM56
SAM49	SAM57	SAM49xSAM57
SAM49	SAM58	SAM49xSAM58
SAM49	SAM59	SAM49xSAM59
SAM51	SAM52	SAM51xSAM52
SAM51	SAM53	SAM51xSAM53
SAM51	SAM54	SAM51xSAM54
SAM51	SAM55	SAM51xSAM55
SAM51	SAM56	SAM51xSAM56
SAM51	SAM57	SAM51xSAM57
SAM51	SAM58	SAM51xSAM58
SAM51	SAM59	SAM51xSAM59
SAM52	SAM53	SAM52xSAM53
SAM52	SAM54	SAM52xSAM54
SAM52	SAM55	SAM52xSAM55
SAM52	SAM56	SAM52xSAM56
SAM52	SAM57	SAM52xSAM57
SAM52	SAM58	SAM52xSAM58
SAM52	SAM59	SAM52xSAM59
SAM53	SAM54	SAM53xSAM54
SAM53	SAM55	SAM53xSAM55
SAM53	SAM56	SAM53xSAM56
SAM53	SAM57	SAM53xSAM57
SAM53	SAM58	SAM53xSAM58
SAM53	SAM59	SAM53xSAM59
SAM54	SAM55	SAM54xSAM55
SAM54	SAM56	SAM54xSAM56
SAM54	SAM57	SAM54xSAM57
SAM54	SAM58	SAM54xSAM58
SAM54	SAM59	SAM54xSAM59
SAM55	SAM56	SAM55xSAM56
SAM55	SAM57	SAM55xSAM57
SAM55	SAM58	SAM55xSAM58
SAM55	SAM59	SAM55xSAM59
SAM56	SAM57	SAM56xSAM57
SAM56	SAM58	SAM56xSAM58
SAM56	SAM59	SAM56xSAM59
SAM57	SAM58	SAM57xSAM58
SAM57	SAM59	SAM57xSAM59
SAM58	SAM59	SAM58xSAM59
