p1	p2	genotype
SAM5	SAM47	SAM5xSAM47
SAM5	SAM49	SAM5xSAM49
SAM5	SAM51	SAM5xSAM51
SAM5	SAM52	SAM5xSAM52
SAM5	SAM53	SAM5xSAM53
SAM5	SAM54	SAM5xSAM54
SAM5	SAM55	SAM5xSAM55
SAM5	SAM56	SAM5xSAM56
SAM5	SAM57	SAM5xSAM57
SAM5	SAM58	SAM5xSAM58
SAM5	SAM59	SAM5xSAM59
SAM6	SAM7	SAM6xSAM7
SAM6	SAM8	SAM6xSAM8
SAM6	SAM9	SAM6xSAM9
SAM6	SAM10	SAM6xSAM10
SAM6	SAM11	SAM6xSAM11
SAM6	SAM12	SAM6xSAM12
SAM6	SAM14	SAM6xSAM14
SAM6	SAM15	SAM6xSAM15
SAM6	SAM17	SAM6xSAM17
SAM6	SAM18	SAM6xSAM18
SAM6	SAM19	SAM6xSAM19
SAM6	SAM20	SAM6xSAM20
SAM6	SAM21	SAM6xSAM21
SAM6	SAM24	SAM6xSAM24
SAM6	SAM25	SAM6xSAM25
SAM6	SAM26	SAM6xSAM26
SAM6	SAM28	SAM6xSAM28
SAM6	SAM29	SAM6xSAM29
SAM6	SAM30	SAM6xSAM30
SAM6	SAM35	SAM6xSAM35
SAM6	SAM36	SAM6xSAM36
SAM6	SAM37	SAM6xSAM37
SAM6	SAM38	SAM6xSAM38
SAM6	SAM39	SAM6xSAM39
SAM6	SAM40	SAM6xSAM40
SAM6	SAM41	SAM6xSAM41
SAM6	SAM43	SAM6xSAM43
SAM6	SAM45	SAM6xSAM45
SAM6	SAM46	SAM6xSAM46
SAM6	SAM47	SAM6xSAM47
SAM6	SAM49	SAM6xSAM49
SAM6	SAM51	SAM6xSAM51
SAM6	SAM52	SAM6xSAM52
SAM6	SAM53	SAM6xSAM53
SAM6	SAM54	SAM6xSAM54
SAM6	SAM55	SAM6xSAM55
SAM6	SAM56	SAM6xSAM56
SAM6	SAM57	SAM6xSAM57
SAM6	SAM58	SAM6xSAM58
SAM6	SAM59	SAM6xSAM59
SAM7	SAM8	SAM7xSAM8
SAM7	SAM9	SAM7xSAM9
SAM7	SAM10	SAM7xSAM10
SAM7	SAM11	SAM7xSAM11
SAM7	SAM12	SAM7xSAM12
SAM7	SAM14	SAM7xSAM14
SAM7	SAM15	SAM7xSAM15
SAM7	SAM17	SAM7xSAM17
SAM7	SAM18	SAM7xSAM18
SAM7	SAM19	SAM7xSAM19
SAM7	SAM20	SAM7xSAM20
SAM7	SAM21	SAM7xSAM21
SAM7	SAM24	SAM7xSAM24
SAM7	SAM25	SAM7xSAM25
SAM7	SAM26	SAM7xSAM26
SAM7	SAM28	SAM7xSAM28
SAM7	SAM29	SAM7xSAM29
SAM7	SAM30	SAM7xSAM30
SAM7	SAM35	SAM7xSAM35
SAM7	SAM36	SAM7xSAM36
SAM7	SAM37	SAM7xSAM37
SAM7	SAM38	SAM7xSAM38
SAM7	SAM39	SAM7xSAM39
SAM7	SAM40	SAM7xSAM40
SAM7	SAM41	SAM7xSAM41
SAM7	SAM43	SAM7xSAM43
SAM7	SAM45	SAM7xSAM45
SAM7	SAM46	SAM7xSAM46
SAM7	SAM47	SAM7xSAM47
SAM7	SAM49	SAM7xSAM49
SAM7	SAM51	SAM7xSAM51
SAM7	SAM52	SAM7xSAM52
SAM7	SAM53	SAM7xSAM53
SAM7	SAM54	SAM7xSAM54
SAM7	SAM55	SAM7xSAM55
SAM7	SAM56	SAM7xSAM56
SAM7	SAM57	SAM7xSAM57
SAM7	SAM58	SAM7xSAM58
SAM7	SAM59	SAM7xSAM59
SAM8	SAM9	SAM8xSAM9
SAM8	SAM10	SAM8xSAM10
SAM8	SAM11	SAM8xSAM11
SAM8	SAM12	SAM8xSAM12
SAM8	SAM14	SAM8xSAM14
SAM8	SAM15	SAM8xSAM15
SAM8	SAM17	SAM8xSAM17
SAM8	SAM18	SAM8xSAM18
SAM8	SAM19	SAM8xSAM19
SAM8	SAM20	SAM8xSAM20
SAM8	SAM21	SAM8xSAM21
SAM8	SAM24	SAM8xSAM24
SAM8	SAM25	SAM8xSAM25
SAM8	SAM26	SAM8xSAM26
SAM8	SAM28	SAM8xSAM28
SAM8	SAM29	SAM8xSAM29
SAM8	SAM30	SAM8xSAM30
SAM8	SAM35	SAM8xSAM35
SAM8	SAM36	SAM8xSAM36
SAM8	SAM37	SAM8xSAM37
SAM8	SAM38	SAM8xSAM38
SAM8	SAM39	SAM8xSAM39
SAM8	SAM40	SAM8xSAM40
SAM8	SAM41	SAM8xSAM41
SAM8	SAM43	SAM8xSAM43
SAM8	SAM45	SAM8xSAM45
SAM8	SAM46	SAM8xSAM46
SAM8	SAM47	SAM8xSAM47
SAM8	SAM49	SAM8xSAM49
SAM8	SAM51	SAM8xSAM51
SAM8	SAM52	SAM8xSAM52
SAM8	SAM53	SAM8xSAM53
SAM8	SAM54	SAM8xSAM54
SAM8	SAM55	SAM8xSAM55
SAM8	SAM56	SAM8xSAM56
SAM8	SAM57	SAM8xSAM57
SAM8	SAM58	SAM8xSAM58
SAM8	SAM59	SAM8xSAM59
SAM9	SAM10	SAM9xSAM10
SAM9	SAM11	SAM9xSAM11
SAM9	SAM12	SAM9xSAM12
SAM9	SAM14	SAM9xSAM14
SAM9	SAM15	SAM9xSAM15
SAM9	SAM17	SAM9xSAM17
SAM9	SAM18	SAM9xSAM18
SAM9	SAM19	SAM9xSAM19
SAM9	SAM20	SAM9xSAM20
SAM9	SAM21	SAM9xSAM21
SAM9	SAM24	SAM9xSAM24
