Genotype	para_coeff	Fix
SAM333	-0.00005	1
SAM334	-0.00037	1
SAM335	-0.00076	1
SAM336	0.000055	1
SAM337	0.001297	1
SAM338	0.000654	1
SAM339	-0.00079	1
SAM34	0.000106	1
SAM340	0.000154	1
SAM341	0.001062	1
SAM342	-0.00058	1
SAM343	-0.00002	1
SAM344	0.00058	1
SAM345	-0.00077	1
SAM346	-0.00078	1
SAM347	-0.00029	1
SAM348	-0.00013	1
SAM349	0.00072	1
SAM35	-0.00044	1
SAM350	-0.00105	1
SAM351	0.000012	1
SAM352	0.000119	1
SAM353	0.000075	1
SAM354	-0.00047	1
SAM355	-0.00047	1
SAM356	0.000278	1
SAM357	-0.00014	1
SAM358	0.000251	1
SAM359	0.000992	1
SAM36	-0.00024	1
SAM360	-0.00025	1
SAM361	-0.00067	1
SAM362	-0.0003	1
SAM363	-0.00006	1
SAM364	0.000244	1
SAM365	0.001066	1
SAM366	-0.00065	1
SAM367	0.001378	1
SAM368	-0.00039	1
SAM369	-0.0002	1
SAM37	-0.00005	1
SAM370	0.001124	1
SAM371	0.000535	1
SAM372	0.001317	1
SAM373	0.000021	1
SAM374	0.00065	1
SAM375	-0.00014	1
SAM376	0.001707	1
SAM377	-0.00094	1
SAM378	0.000236	1
SAM379	0.000552	1
SAM38	-0.00032	1
SAM380	0.000729	1
SAM381	0.000667	1
SAM382	-0.00026	1
SAM39	-0.00001	1
SAM4	-0.00004	1
SAM40	-0.00071	1
SAM41	0.00005	1
SAM42	-0.00028	1
SAM43	-0.00024	1
SAM44	-0.00014	1
SAM45	-0.00031	1
SAM46	-0.00085	1
SAM47	0.000278	1
SAM48	-0.00041	1
SAM49	-0.00043	1
SAM5	-0.00003	1
SAM50	0.00011	1
SAM51	-0.00006	1
SAM52	-0.00038	1
SAM53	-0.00066	1
SAM54	0.000027	1
SAM55	0.000385	1
SAM56	-0.00009	1
SAM57	0.000606	1
SAM58	-0.00022	1
SAM59	0.00017	1
SAM6	-0.00086	1
SAM60	0.000107	1
SAM61	0.00021	1
SAM62	-0.00068	1
SAM63	0.000329	1
SAM64	0.000026	1
SAM65	0.000396	1
SAM66	-0.00029	1
SAM67	0.000236	1
SAM68	-0.00078	1
SAM69	0.000863	1
SAM7	-0.00051	1
SAM70	-0.00063	1
SAM71	0.000025	1
SAM72	-0.00011	1
SAM73	-0.00008	1
SAM74	-0.00097	1
SAM75	-0.00082	1
SAM76	-0.00067	1
SAM77	0.00024	1
SAM78	-0.00014	1
SAM79	-0.00041	1
SAM8	-0.00071	1
SAM80	-0.0002	1
SAM81	-0.00047	1
SAM82	-0.00025	1
SAM83	0.000051	1
SAM84	0.000611	1
SAM85	-0.00046	1
SAM86	0.000156	1
SAM87	-0.00028	1
SAM88	0.000166	1
SAM89	-0.00086	1
SAM9	0.000042	1
SAM90	0.000505	1
SAM91	0.000833	1
SAM92	0.000287	1
SAM93	-0.00018	1
SAM94	-0.00053	1
SAM95	-0.00058	1
SAM96	0.000783	1
SAM97	0.000959	1
SAM98	-0.00069	1
SAM99	-0.0003	1
