Genotype,gHat,log2vol,Fix,P1,P2
SAM21xSAM58,19.761882335,-9,1,SAM21,SAM58
SAM7xSAM51,19.761924326,-9,1,SAM7,SAM51
SAM51xSAM56,19.76347135,-9,1,SAM51,SAM56
SAM38xSAM46,19.764269858,-9,1,SAM38,SAM46
SAM28xSAM58,19.765323683,-9,1,SAM28,SAM58
SAM21xSAM55,19.766292751,-9,1,SAM21,SAM55
SAM15xSAM47,19.767017424,-9,1,SAM15,SAM47
SAM21xSAM40,19.767654612,-9,1,SAM21,SAM40
SAM21xSAM59,19.768220037,-9,1,SAM21,SAM59
SAM7xSAM20,19.768232211,-9,1,SAM7,SAM20
SAM35xSAM57,19.768363908,-9,1,SAM35,SAM57
SAM25xSAM47,19.769274577,-9,1,SAM25,SAM47
SAM28xSAM55,19.769735157,-9,1,SAM28,SAM55
SAM20xSAM56,19.769778818,-9,1,SAM20,SAM56
SAM28xSAM40,19.771098107,-9,1,SAM28,SAM40
SAM28xSAM59,19.771664202,-9,1,SAM28,SAM59
SAM51xSAM54,19.77324602,-9,1,SAM51,SAM54
SAM21xSAM38,19.7746239,-9,1,SAM21,SAM38
SAM7xSAM49,19.777554601,-9,1,SAM7,SAM49
SAM28xSAM38,19.778067678,-9,1,SAM28,SAM38
SAM49xSAM56,19.779098496,-9,1,SAM49,SAM56
SAM20xSAM54,19.77955772,-9,1,SAM20,SAM54
SAM43xSAM47,19.781925529,-9,1,SAM43,SAM47
SAM46xSAM51,19.782246366,-9,1,SAM46,SAM51
SAM7xSAM56,19.787670299,-9,1,SAM7,SAM56
SAM20xSAM46,19.788555085,-9,1,SAM20,SAM46
SAM49xSAM54,19.788876325,-9,1,SAM49,SAM54
SAM18xSAM58,19.788941413,-9,1,SAM18,SAM58
SAM41xSAM57,19.790834173,-9,1,SAM41,SAM57
SAM21xSAM51,19.792600959,-9,1,SAM21,SAM51
SAM18xSAM55,19.793350354,-9,1,SAM18,SAM55
SAM18xSAM40,19.794713065,-9,1,SAM18,SAM40
SAM18xSAM59,19.795279279,-9,1,SAM18,SAM59
SAM28xSAM51,19.796044886,-9,1,SAM28,SAM51
SAM39xSAM57,19.797206193,-9,1,SAM39,SAM57
SAM7xSAM54,19.79744865,-9,1,SAM7,SAM54
SAM46xSAM49,19.797874391,-9,1,SAM46,SAM49
SAM20xSAM21,19.798910931,-9,1,SAM20,SAM21
SAM54xSAM56,19.798993677,-9,1,SAM54,SAM56
SAM14xSAM58,19.801540956,-9,1,SAM14,SAM58
SAM18xSAM38,19.801683158,-9,1,SAM18,SAM38
SAM20xSAM28,19.802353099,-9,1,SAM20,SAM28
SAM53xSAM58,19.804246902,-9,1,SAM53,SAM58
SAM36xSAM58,19.804335937,-9,1,SAM36,SAM58
SAM45xSAM58,19.805815831,-9,1,SAM45,SAM58
SAM30xSAM58,19.805865034,-9,1,SAM30,SAM58
SAM14xSAM55,19.805950492,-9,1,SAM14,SAM55
SAM7xSAM46,19.80644393,-9,1,SAM7,SAM46
SAM14xSAM40,19.807313815,-9,1,SAM14,SAM40
SAM14xSAM59,19.807878703,-9,1,SAM14,SAM59
SAM46xSAM56,19.807990953,-9,1,SAM46,SAM56
SAM21xSAM49,19.8082304,-9,1,SAM21,SAM49
SAM53xSAM55,19.808656737,-9,1,SAM53,SAM55
SAM36xSAM55,19.808746859,-9,1,SAM36,SAM55
SAM40xSAM53,19.810020566,-9,1,SAM40,SAM53
SAM36xSAM40,19.810108393,-9,1,SAM36,SAM40
SAM45xSAM55,19.810226261,-9,1,SAM45,SAM55
SAM30xSAM55,19.810276627,-9,1,SAM30,SAM55
SAM53xSAM59,19.810583651,-9,1,SAM53,SAM59
SAM36xSAM59,19.810673907,-9,1,SAM36,SAM59
SAM40xSAM45,19.811589032,-9,1,SAM40,SAM45
SAM30xSAM40,19.811640277,-9,1,SAM30,SAM40
SAM28xSAM49,19.811673611,-9,1,SAM28,SAM49
SAM45xSAM59,19.812154591,-9,1,SAM45,SAM59
SAM30xSAM59,19.81220366,-9,1,SAM30,SAM59
SAM35xSAM58,19.813803196,-9,1,SAM35,SAM58
SAM14xSAM38,19.814282968,-9,1,SAM14,SAM38
SAM7xSAM21,19.81680128,-9,1,SAM7,SAM21
SAM38xSAM53,19.816989705,-9,1,SAM38,SAM53
SAM36xSAM38,19.817078739,-9,1,SAM36,SAM38
SAM46xSAM54,19.817766011,-9,1,SAM46,SAM54
SAM52xSAM57,19.81780532,-9,1,SAM52,SAM57
SAM35xSAM55,19.818209976,-9,1,SAM35,SAM55
SAM21xSAM56,19.818347007,-9,1,SAM21,SAM56
SAM38xSAM45,19.818557933,-9,1,SAM38,SAM45
SAM30xSAM38,19.818610057,-9,1,SAM30,SAM38
SAM35xSAM40,19.819574073,-9,1,SAM35,SAM40
SAM18xSAM51,19.819657951,-9,1,SAM18,SAM51
SAM35xSAM59,19.820137575,-9,1,SAM35,SAM59
SAM7xSAM28,19.820244819,-9,1,SAM7,SAM28
SAM6xSAM47,19.821391359,-9,1,SAM6,SAM47
SAM28xSAM56,19.821790173,-9,1,SAM28,SAM56
SAM18xSAM20,19.825967669,-9,1,SAM18,SAM20
SAM35xSAM38,19.826544121,-9,1,SAM35,SAM38
SAM12xSAM47,19.827265799,-9,1,SAM12,SAM47
SAM24xSAM57,19.827636033,-9,1,SAM24,SAM57
SAM21xSAM54,19.828122184,-9,1,SAM21,SAM54
SAM19xSAM57,19.830730453,-9,1,SAM19,SAM57
SAM28xSAM54,19.831567839,-9,1,SAM28,SAM54
SAM14xSAM51,19.832258373,-9,1,SAM14,SAM51
SAM37xSAM57,19.833737761,-9,1,SAM37,SAM57
SAM51xSAM53,19.834965497,-9,1,SAM51,SAM53
SAM36xSAM51,19.835055336,-9,1,SAM36,SAM51
SAM18xSAM49,19.835289791,-9,1,SAM18,SAM49
SAM41xSAM58,19.836272716,-9,1,SAM41,SAM58
SAM45xSAM51,19.836534932,-9,1,SAM45,SAM51
SAM30xSAM51,19.836585522,-9,1,SAM30,SAM51
SAM21xSAM46,19.837120086,-9,1,SAM21,SAM46
SAM14xSAM20,19.838568896,-9,1,SAM14,SAM20
SAM8xSAM57,19.838880762,-9,1,SAM8,SAM57
SAM28xSAM46,19.84056595,-9,1,SAM28,SAM46
SAM41xSAM55,19.840683386,-9,1,SAM41,SAM55
SAM20xSAM53,19.841274932,-9,1,SAM20,SAM53
SAM20xSAM36,19.841364786,-9,1,SAM20,SAM36
SAM40xSAM41,19.842046588,-9,1,SAM40,SAM41
SAM41xSAM59,19.842611193,-9,1,SAM41,SAM59
SAM39xSAM58,19.842646569,-9,1,SAM39,SAM58
SAM20xSAM45,19.842845052,-9,1,SAM20,SAM45
SAM20xSAM30,19.842894643,-9,1,SAM20,SAM30
SAM7xSAM18,19.843860566,-9,1,SAM7,SAM18
SAM35xSAM51,19.844518959,-9,1,SAM35,SAM51
SAM18xSAM56,19.845405876,-9,1,SAM18,SAM56
SAM39xSAM55,19.847055495,-9,1,SAM39,SAM55
SAM14xSAM49,19.847891301,-9,1,SAM14,SAM49
SAM39xSAM40,19.8484184,-9,1,SAM39,SAM40
SAM39xSAM59,19.848983154,-9,1,SAM39,SAM59
SAM38xSAM41,19.849017531,-9,1,SAM38,SAM41
SAM10xSAM57,19.849369138,-9,1,SAM10,SAM57
SAM49xSAM53,19.850597575,-9,1,SAM49,SAM53
SAM36xSAM49,19.850685268,-9,1,SAM36,SAM49
SAM17xSAM57,19.850712985,-9,1,SAM17,SAM57
SAM20xSAM35,19.850828454,-9,1,SAM20,SAM35
SAM21xSAM28,19.85091982,-9,1,SAM21,SAM28
SAM45xSAM49,19.852166295,-9,1,SAM45,SAM49
SAM30xSAM49,19.85221634,-9,1,SAM30,SAM49
SAM3xSAM47,19.853558294,-9,1,SAM3,SAM47
SAM29xSAM57,19.854399934,-9,1,SAM29,SAM57
SAM18xSAM54,19.855180405,-9,1,SAM18,SAM54
SAM38xSAM39,19.855388328,-9,1,SAM38,SAM39
SAM7xSAM14,19.856458776,-9,1,SAM7,SAM14
SAM26xSAM57,19.857131153,-9,1,SAM26,SAM57
SAM14xSAM56,19.858006462,-9,1,SAM14,SAM56
SAM7xSAM53,19.859165586,-9,1,SAM7,SAM53
SAM7xSAM36,19.859256059,-9,1,SAM7,SAM36
SAM35xSAM49,19.860149808,-9,1,SAM35,SAM49
SAM53xSAM56,19.860711358,-9,1,SAM53,SAM56
SAM7xSAM45,19.860737003,-9,1,SAM7,SAM45
SAM7xSAM30,19.860785581,-9,1,SAM7,SAM30
SAM36xSAM56,19.860800996,-9,1,SAM36,SAM56
SAM11xSAM57,19.861607931,-9,1,SAM11,SAM57
SAM45xSAM56,19.862280108,-9,1,SAM45,SAM56
SAM30xSAM56,19.862330504,-9,1,SAM30,SAM56
SAM9xSAM57,19.862622961,-9,1,SAM9,SAM57
SAM52xSAM58,19.863242619,-9,1,SAM52,SAM58
SAM18xSAM46,19.864179417,-9,1,SAM18,SAM46
SAM41xSAM51,19.866992242,-9,1,SAM41,SAM51
