Genotype	log2vol	Fix
SAM187	20.0353009153269	1
SAM185	20.0423357641959	1
SAM14	21.0365974224734	1
SAM230	19.8064695392636	1
SAM353	19.1236447886776	1
SAM172	20.0675274516254	1
SAM41	20.7106727686661	1
SAM231	19.7996394110114	1
SAM315	19.4450322293851	1
SAM171	20.0675421565447	1
SAM380	18.8183968110138	1
SAM76	20.4264990032515	1
SAM217	19.8537819484965	1
SAM227	19.814592791933	1
SAM261	19.6416919335543	1
SAM153	20.115661063097	1
SAM44	20.6662428166723	1
SAM189	20.0221010490962	1
SAM113	20.2617282371008	1
SAM32	20.7823199951431	1
SAM336	19.2924045454772	1
SAM97	20.3168474045169	1
SAM252	19.6888815208823	1
SAM296	19.5140625278918	1
SAM192	20.0046496518779	1
SAM29	20.8184266928247	1
SAM254	19.6859108648619	1
SAM241	19.759503655105	1
SAM84	20.3806140998045	1
SAM139	20.175992308942	1
SAM109	20.2847998186894	1
SAM287	19.5356360964221	1
SAM79	20.401699834985	1
SAM229	19.8075723703608	1
SAM375	18.9185243672103	1
SAM256	19.6802429276026	1
SAM77	20.4220155776944	1
SAM204	19.9144457201038	1
SAM255	19.6848188060253	1
SAM6	21.3593059194906	1
SAM201	19.9373057094555	1
SAM130	20.1968743926152	1
SAM220	19.8379607912307	1
SAM346	19.2111660915481	1
SAM263	19.6217471255173	1
SAM223	19.8302620347642	1
SAM273	19.5799230103002	1
SAM288	19.5350302255369	1
SAM214	19.8653714161536	1
SAM310	19.4562268580284	1
SAM188	20.0278803557715	1
SAM167	20.0747780636984	1
SAM268	19.6020318703039	1
SAM338	19.2878381590402	1
SAM116	20.2520167390415	1
SAM37	20.7289470112879	1
SAM320	19.4099394670228	1
SAM23	20.8964847413834	1
SAM337	19.2887309232911	1
SAM11	21.1016262926051	1
SAM240	19.7605883916902	1
SAM345	19.2400862532117	1
SAM292	19.5199725026261	1
SAM328	19.3628939207638	1
SAM246	19.7235957894422	1
SAM61	20.5486988846893	1
SAM290	19.5277954011364	1
SAM309	19.4593509659005	1
SAM373	18.9338557353467	1
SAM5	21.4747418270981	1
SAM117	20.2413766562242	1
SAM332	19.3251009715379	1
SAM96	20.3259773451473	1
SAM177	20.054453022477	1
SAM211	19.8874080574795	1
SAM39	20.7204869296808	1
SAM216	19.857765851326	1
SAM281	19.5505589222355	1
SAM146	20.1471385792437	1
SAM98	20.3138404999013	1
SAM242	19.7587744605168	1
SAM376	18.9153892497192	1
SAM111	20.2716134831717	1
SAM354	19.1233136298272	1
SAM85	20.3804810408452	1
SAM324	19.3779950536537	1
SAM259	19.6616001502352	1
SAM168	20.0708997476135	1
SAM31	20.8056457980462	1
SAM129	20.201569971939	1
SAM115	20.2524499267175	1
SAM26	20.84558721458	1
SAM194	19.9948605451993	1
SAM40	20.7119917275488	1
SAM149	20.1331863725814	1
SAM159	20.0994848391699	1
SAM10	21.117814160703	1
SAM207	19.9054874890268	1
SAM330	19.3499280138583	1
SAM364	19.0292710483297	1
