Genotype	Radius	Fix
SAM291	-5.3601	1
SAM292	-4.3097	1
SAM293	-3.2906	1
SAM294	-5.1724	1
SAM295	-5.3602	1
SAM296	-0.3005	1
SAM297	-2.1089	1
SAM298	-6.7694	1
SAM299	-4.8272	1
SAM3	16.6497	1
SAM30	6.0471	1
SAM300	-10.0311	1
SAM301	0.3649	1
SAM302	-1.6201	1
SAM303	-1.5578	1
SAM304	-4.4682	1
SAM305	-6.8783	1
SAM306	-9.2217	1
SAM307	-1.9343	1
SAM308	-5.0081	1
SAM309	-6.0788	1
SAM31	5.2801	1
SAM310	-6.4127	1
SAM311	-5.4071	1
SAM312	-6.6672	1
SAM313	-6.6041	1
SAM314	-3.5528	1
SAM315	-4.6156	1
SAM316	-7.496	1
SAM317	-2.5616	1
SAM318	-3.4498	1
SAM319	-8.1533	1
SAM32	7.1801	1
SAM320	-4.6326	1
SAM321	-7.6865	1
SAM322	-7.6839	1
SAM323	-5.0701	1
SAM324	-5.3576	1
SAM325	-7.8482	1
SAM326	-8.6462	1
SAM327	-3.1468	1
SAM328	-4.613	1
SAM329	-3.1774	1
SAM33	7.627	1
SAM330	-3.8392	1
SAM331	-2.9191	1
SAM332	-1.6444	1
SAM333	-5.9676	1
SAM334	-4.741	1
SAM335	-3.5059	1
SAM336	-4.9514	1
SAM337	-9.3451	1
SAM338	-8.7963	1
SAM339	-1.6791	1
SAM34	7.2911	1
SAM340	-7.1115	1
SAM341	-9.792	1
SAM342	-0.7765	1
SAM343	-3.1887	1
SAM344	-8.1377	1
SAM345	-2.6005	1
SAM346	-3.0734	1
SAM347	-7.9453	1
SAM348	-7.4492	1
SAM349	-10.2769	1
SAM35	9.6383	1
SAM350	-2.6843	1
SAM351	-6.7968	1
SAM352	-8.6462	1
SAM353	-8.2707	1
SAM354	-6.7919	1
SAM355	-5.9772	1
SAM356	-9.5146	1
SAM357	-7.6319	1
SAM358	-7.2678	1
SAM359	-11.8137	1
SAM36	7.2352	1
SAM360	-6.2217	1
SAM361	-5.8765	1
SAM362	-4.803	1
SAM363	-8.4115	1
SAM364	-6.3475	1
SAM365	-12.2607	1
SAM366	-6.5572	1
SAM367	-12.3548	1
SAM368	-4.2837	1
SAM369	-8.9804	1
SAM37	7.5024	1
SAM370	-10.8826	1
SAM371	-9.4026	1
SAM372	-13.5049	1
SAM373	-10.0779	1
SAM374	-11.7404	1
SAM375	-7.1733	1
SAM376	-11.0506	1
SAM377	-5.8531	1
SAM378	-9.4007	1
SAM379	-10.7935	1
SAM38	9.7322	1
SAM380	-8.7748	1
SAM381	-12.7068	1
SAM382	-8.1767	1
SAM39	3.9471	1
SAM4	13.4454	1
SAM40	10.576	1
