p1	p2	genotype
SAM354	SAM362	SAM354xSAM362
SAM354	SAM363	SAM354xSAM363
SAM354	SAM364	SAM354xSAM364
SAM354	SAM365	SAM354xSAM365
SAM354	SAM366	SAM354xSAM366
SAM354	SAM367	SAM354xSAM367
SAM354	SAM369	SAM354xSAM369
SAM354	SAM370	SAM354xSAM370
SAM354	SAM372	SAM354xSAM372
SAM354	SAM373	SAM354xSAM373
SAM354	SAM374	SAM354xSAM374
SAM354	SAM375	SAM354xSAM375
SAM354	SAM377	SAM354xSAM377
SAM354	SAM378	SAM354xSAM378
SAM354	SAM379	SAM354xSAM379
SAM354	SAM380	SAM354xSAM380
SAM354	SAM381	SAM354xSAM381
SAM354	SAM382	SAM354xSAM382
SAM355	SAM356	SAM355xSAM356
SAM355	SAM357	SAM355xSAM357
SAM355	SAM358	SAM355xSAM358
SAM355	SAM360	SAM355xSAM360
SAM355	SAM361	SAM355xSAM361
SAM355	SAM362	SAM355xSAM362
SAM355	SAM363	SAM355xSAM363
SAM355	SAM364	SAM355xSAM364
SAM355	SAM365	SAM355xSAM365
SAM355	SAM366	SAM355xSAM366
SAM355	SAM367	SAM355xSAM367
SAM355	SAM369	SAM355xSAM369
SAM355	SAM370	SAM355xSAM370
SAM355	SAM372	SAM355xSAM372
SAM355	SAM373	SAM355xSAM373
SAM355	SAM374	SAM355xSAM374
SAM355	SAM375	SAM355xSAM375
SAM355	SAM377	SAM355xSAM377
SAM355	SAM378	SAM355xSAM378
SAM355	SAM379	SAM355xSAM379
SAM355	SAM380	SAM355xSAM380
SAM355	SAM381	SAM355xSAM381
SAM355	SAM382	SAM355xSAM382
SAM356	SAM357	SAM356xSAM357
SAM356	SAM358	SAM356xSAM358
SAM356	SAM360	SAM356xSAM360
SAM356	SAM361	SAM356xSAM361
SAM356	SAM362	SAM356xSAM362
SAM356	SAM363	SAM356xSAM363
SAM356	SAM364	SAM356xSAM364
SAM356	SAM365	SAM356xSAM365
SAM356	SAM366	SAM356xSAM366
SAM356	SAM367	SAM356xSAM367
SAM356	SAM369	SAM356xSAM369
SAM356	SAM370	SAM356xSAM370
SAM356	SAM372	SAM356xSAM372
SAM356	SAM373	SAM356xSAM373
SAM356	SAM374	SAM356xSAM374
SAM356	SAM375	SAM356xSAM375
SAM356	SAM377	SAM356xSAM377
SAM356	SAM378	SAM356xSAM378
SAM356	SAM379	SAM356xSAM379
SAM356	SAM380	SAM356xSAM380
SAM356	SAM381	SAM356xSAM381
SAM356	SAM382	SAM356xSAM382
SAM357	SAM358	SAM357xSAM358
SAM357	SAM360	SAM357xSAM360
SAM357	SAM361	SAM357xSAM361
SAM357	SAM362	SAM357xSAM362
SAM357	SAM363	SAM357xSAM363
SAM357	SAM364	SAM357xSAM364
SAM357	SAM365	SAM357xSAM365
SAM357	SAM366	SAM357xSAM366
SAM357	SAM367	SAM357xSAM367
SAM357	SAM369	SAM357xSAM369
SAM357	SAM370	SAM357xSAM370
SAM357	SAM372	SAM357xSAM372
SAM357	SAM373	SAM357xSAM373
SAM357	SAM374	SAM357xSAM374
SAM357	SAM375	SAM357xSAM375
SAM357	SAM377	SAM357xSAM377
SAM357	SAM378	SAM357xSAM378
SAM357	SAM379	SAM357xSAM379
SAM357	SAM380	SAM357xSAM380
SAM357	SAM381	SAM357xSAM381
SAM357	SAM382	SAM357xSAM382
SAM358	SAM360	SAM358xSAM360
SAM358	SAM361	SAM358xSAM361
SAM358	SAM362	SAM358xSAM362
SAM358	SAM363	SAM358xSAM363
SAM358	SAM364	SAM358xSAM364
SAM358	SAM365	SAM358xSAM365
SAM358	SAM366	SAM358xSAM366
SAM358	SAM367	SAM358xSAM367
SAM358	SAM369	SAM358xSAM369
SAM358	SAM370	SAM358xSAM370
SAM358	SAM372	SAM358xSAM372
SAM358	SAM373	SAM358xSAM373
SAM358	SAM374	SAM358xSAM374
SAM358	SAM375	SAM358xSAM375
SAM358	SAM377	SAM358xSAM377
SAM358	SAM378	SAM358xSAM378
SAM358	SAM379	SAM358xSAM379
SAM358	SAM380	SAM358xSAM380
SAM358	SAM381	SAM358xSAM381
SAM358	SAM382	SAM358xSAM382
SAM360	SAM361	SAM360xSAM361
SAM360	SAM362	SAM360xSAM362
SAM360	SAM363	SAM360xSAM363
SAM360	SAM364	SAM360xSAM364
SAM360	SAM365	SAM360xSAM365
SAM360	SAM366	SAM360xSAM366
SAM360	SAM367	SAM360xSAM367
SAM360	SAM369	SAM360xSAM369
SAM360	SAM370	SAM360xSAM370
SAM360	SAM372	SAM360xSAM372
SAM360	SAM373	SAM360xSAM373
SAM360	SAM374	SAM360xSAM374
SAM360	SAM375	SAM360xSAM375
SAM360	SAM377	SAM360xSAM377
SAM360	SAM378	SAM360xSAM378
SAM360	SAM379	SAM360xSAM379
SAM360	SAM380	SAM360xSAM380
SAM360	SAM381	SAM360xSAM381
SAM360	SAM382	SAM360xSAM382
SAM361	SAM362	SAM361xSAM362
SAM361	SAM363	SAM361xSAM363
SAM361	SAM364	SAM361xSAM364
SAM361	SAM365	SAM361xSAM365
SAM361	SAM366	SAM361xSAM366
SAM361	SAM367	SAM361xSAM367
SAM361	SAM369	SAM361xSAM369
SAM361	SAM370	SAM361xSAM370
SAM361	SAM372	SAM361xSAM372
SAM361	SAM373	SAM361xSAM373
SAM361	SAM374	SAM361xSAM374
SAM361	SAM375	SAM361xSAM375
SAM361	SAM377	SAM361xSAM377
SAM361	SAM378	SAM361xSAM378
SAM361	SAM379	SAM361xSAM379
SAM361	SAM380	SAM361xSAM380
SAM361	SAM381	SAM361xSAM381
SAM361	SAM382	SAM361xSAM382
SAM362	SAM363	SAM362xSAM363
SAM362	SAM364	SAM362xSAM364
SAM362	SAM365	SAM362xSAM365
SAM362	SAM366	SAM362xSAM366
SAM362	SAM367	SAM362xSAM367
SAM362	SAM369	SAM362xSAM369
SAM362	SAM370	SAM362xSAM370
SAM362	SAM372	SAM362xSAM372
SAM362	SAM373	SAM362xSAM373
SAM362	SAM374	SAM362xSAM374
SAM362	SAM375	SAM362xSAM375
SAM362	SAM377	SAM362xSAM377
SAM362	SAM378	SAM362xSAM378
SAM362	SAM379	SAM362xSAM379
SAM362	SAM380	SAM362xSAM380
SAM362	SAM381	SAM362xSAM381
SAM362	SAM382	SAM362xSAM382
SAM363	SAM364	SAM363xSAM364
SAM363	SAM365	SAM363xSAM365
SAM363	SAM366	SAM363xSAM366
SAM363	SAM367	SAM363xSAM367
SAM363	SAM369	SAM363xSAM369
SAM363	SAM370	SAM363xSAM370
SAM363	SAM372	SAM363xSAM372
SAM363	SAM373	SAM363xSAM373
SAM363	SAM374	SAM363xSAM374
SAM363	SAM375	SAM363xSAM375
SAM363	SAM377	SAM363xSAM377
SAM363	SAM378	SAM363xSAM378
SAM363	SAM379	SAM363xSAM379
SAM363	SAM380	SAM363xSAM380
SAM363	SAM381	SAM363xSAM381
SAM363	SAM382	SAM363xSAM382
SAM364	SAM365	SAM364xSAM365
SAM364	SAM366	SAM364xSAM366
SAM364	SAM367	SAM364xSAM367
SAM364	SAM369	SAM364xSAM369
SAM364	SAM370	SAM364xSAM370
SAM364	SAM372	SAM364xSAM372
SAM364	SAM373	SAM364xSAM373
SAM364	SAM374	SAM364xSAM374
SAM364	SAM375	SAM364xSAM375
SAM364	SAM377	SAM364xSAM377
SAM364	SAM378	SAM364xSAM378
SAM364	SAM379	SAM364xSAM379
SAM364	SAM380	SAM364xSAM380
SAM364	SAM381	SAM364xSAM381
SAM364	SAM382	SAM364xSAM382
SAM365	SAM366	SAM365xSAM366
SAM365	SAM367	SAM365xSAM367
SAM365	SAM369	SAM365xSAM369
SAM365	SAM370	SAM365xSAM370
SAM365	SAM372	SAM365xSAM372
SAM365	SAM373	SAM365xSAM373
SAM365	SAM374	SAM365xSAM374
SAM365	SAM375	SAM365xSAM375
SAM365	SAM377	SAM365xSAM377
SAM365	SAM378	SAM365xSAM378
SAM365	SAM379	SAM365xSAM379
SAM365	SAM380	SAM365xSAM380
SAM365	SAM381	SAM365xSAM381
SAM365	SAM382	SAM365xSAM382
SAM366	SAM367	SAM366xSAM367
SAM366	SAM369	SAM366xSAM369
SAM366	SAM370	SAM366xSAM370
SAM366	SAM372	SAM366xSAM372
SAM366	SAM373	SAM366xSAM373
SAM366	SAM374	SAM366xSAM374
SAM366	SAM375	SAM366xSAM375
SAM366	SAM377	SAM366xSAM377
SAM366	SAM378	SAM366xSAM378
SAM366	SAM379	SAM366xSAM379
SAM366	SAM380	SAM366xSAM380
SAM366	SAM381	SAM366xSAM381
SAM366	SAM382	SAM366xSAM382
SAM367	SAM369	SAM367xSAM369
SAM367	SAM370	SAM367xSAM370
SAM367	SAM372	SAM367xSAM372
SAM367	SAM373	SAM367xSAM373
SAM367	SAM374	SAM367xSAM374
SAM367	SAM375	SAM367xSAM375
SAM367	SAM377	SAM367xSAM377
SAM367	SAM378	SAM367xSAM378
SAM367	SAM379	SAM367xSAM379
SAM367	SAM380	SAM367xSAM380
SAM367	SAM381	SAM367xSAM381
SAM367	SAM382	SAM367xSAM382
SAM369	SAM370	SAM369xSAM370
SAM369	SAM372	SAM369xSAM372
SAM369	SAM373	SAM369xSAM373
SAM369	SAM374	SAM369xSAM374
SAM369	SAM375	SAM369xSAM375
SAM369	SAM377	SAM369xSAM377
SAM369	SAM378	SAM369xSAM378
SAM369	SAM379	SAM369xSAM379
SAM369	SAM380	SAM369xSAM380
SAM369	SAM381	SAM369xSAM381
SAM369	SAM382	SAM369xSAM382
SAM370	SAM372	SAM370xSAM372
SAM370	SAM373	SAM370xSAM373
SAM370	SAM374	SAM370xSAM374
SAM370	SAM375	SAM370xSAM375
SAM370	SAM377	SAM370xSAM377
SAM370	SAM378	SAM370xSAM378
SAM370	SAM379	SAM370xSAM379
SAM370	SAM380	SAM370xSAM380
SAM370	SAM381	SAM370xSAM381
SAM370	SAM382	SAM370xSAM382
SAM372	SAM373	SAM372xSAM373
SAM372	SAM374	SAM372xSAM374
SAM372	SAM375	SAM372xSAM375
SAM372	SAM377	SAM372xSAM377
SAM372	SAM378	SAM372xSAM378
SAM372	SAM379	SAM372xSAM379
SAM372	SAM380	SAM372xSAM380
SAM372	SAM381	SAM372xSAM381
SAM372	SAM382	SAM372xSAM382
SAM373	SAM374	SAM373xSAM374
SAM373	SAM375	SAM373xSAM375
SAM373	SAM377	SAM373xSAM377
SAM373	SAM378	SAM373xSAM378
SAM373	SAM379	SAM373xSAM379
SAM373	SAM380	SAM373xSAM380
SAM373	SAM381	SAM373xSAM381
SAM373	SAM382	SAM373xSAM382
SAM374	SAM375	SAM374xSAM375
SAM374	SAM377	SAM374xSAM377
SAM374	SAM378	SAM374xSAM378
SAM374	SAM379	SAM374xSAM379
SAM374	SAM380	SAM374xSAM380
SAM374	SAM381	SAM374xSAM381
SAM374	SAM382	SAM374xSAM382
SAM375	SAM377	SAM375xSAM377
SAM375	SAM378	SAM375xSAM378
SAM375	SAM379	SAM375xSAM379
SAM375	SAM380	SAM375xSAM380
SAM375	SAM381	SAM375xSAM381
SAM375	SAM382	SAM375xSAM382
SAM377	SAM378	SAM377xSAM378
SAM377	SAM379	SAM377xSAM379
SAM377	SAM380	SAM377xSAM380
SAM377	SAM381	SAM377xSAM381
SAM377	SAM382	SAM377xSAM382
SAM378	SAM379	SAM378xSAM379
SAM378	SAM380	SAM378xSAM380
SAM378	SAM381	SAM378xSAM381
SAM378	SAM382	SAM378xSAM382
SAM379	SAM380	SAM379xSAM380
SAM379	SAM381	SAM379xSAM381
SAM379	SAM382	SAM379xSAM382
SAM380	SAM381	SAM380xSAM381
SAM380	SAM382	SAM380xSAM382
SAM381	SAM382	SAM381xSAM382
