p1	p2	genotype
SAM332	SAM370	SAM332xSAM370
SAM332	SAM372	SAM332xSAM372
SAM332	SAM373	SAM332xSAM373
SAM332	SAM374	SAM332xSAM374
SAM332	SAM375	SAM332xSAM375
SAM332	SAM377	SAM332xSAM377
SAM332	SAM378	SAM332xSAM378
SAM332	SAM379	SAM332xSAM379
SAM332	SAM380	SAM332xSAM380
SAM332	SAM381	SAM332xSAM381
SAM332	SAM382	SAM332xSAM382
SAM333	SAM334	SAM333xSAM334
SAM333	SAM335	SAM333xSAM335
SAM333	SAM336	SAM333xSAM336
SAM333	SAM337	SAM333xSAM337
SAM333	SAM339	SAM333xSAM339
SAM333	SAM341	SAM333xSAM341
SAM333	SAM343	SAM333xSAM343
SAM333	SAM344	SAM333xSAM344
SAM333	SAM347	SAM333xSAM347
SAM333	SAM348	SAM333xSAM348
SAM333	SAM349	SAM333xSAM349
SAM333	SAM350	SAM333xSAM350
SAM333	SAM351	SAM333xSAM351
SAM333	SAM352	SAM333xSAM352
SAM333	SAM353	SAM333xSAM353
SAM333	SAM354	SAM333xSAM354
SAM333	SAM355	SAM333xSAM355
SAM333	SAM356	SAM333xSAM356
SAM333	SAM357	SAM333xSAM357
SAM333	SAM358	SAM333xSAM358
SAM333	SAM360	SAM333xSAM360
SAM333	SAM361	SAM333xSAM361
SAM333	SAM362	SAM333xSAM362
SAM333	SAM363	SAM333xSAM363
SAM333	SAM364	SAM333xSAM364
SAM333	SAM365	SAM333xSAM365
SAM333	SAM366	SAM333xSAM366
SAM333	SAM367	SAM333xSAM367
SAM333	SAM369	SAM333xSAM369
SAM333	SAM370	SAM333xSAM370
SAM333	SAM372	SAM333xSAM372
SAM333	SAM373	SAM333xSAM373
SAM333	SAM374	SAM333xSAM374
SAM333	SAM375	SAM333xSAM375
SAM333	SAM377	SAM333xSAM377
SAM333	SAM378	SAM333xSAM378
SAM333	SAM379	SAM333xSAM379
SAM333	SAM380	SAM333xSAM380
SAM333	SAM381	SAM333xSAM381
SAM333	SAM382	SAM333xSAM382
SAM334	SAM335	SAM334xSAM335
SAM334	SAM336	SAM334xSAM336
SAM334	SAM337	SAM334xSAM337
SAM334	SAM339	SAM334xSAM339
